Id 	 Expenditure 	 Points 	 Eligibility
1 	 683 	 4099 	 true
2 	 499 	 2995 	 false
3 	 164 	 985 	 false
4 	 164 	 985 	 false
5 	 40 	 241 	 false
6 	 40 	 241 	 false
7 	 415 	 2490 	 false
8 	 415 	 2490 	 false
9 	 471 	 2827 	 false
10 	 471 	 2827 	 false
11 	 40 	 241 	 false
12 	 40 	 241 	 false
13 	 69 	 414 	 false
14 	 69 	 414 	 false
15 	 109 	 655 	 false
16 	 109 	 655 	 false
17 	 471 	 2827 	 false
18 	 471 	 2827 	 false
19 	 140 	 841 	 false
20 	 140 	 841 	 false
21 	 292 	 1753 	 false
22 	 292 	 1753 	 false
23 	 69 	 414 	 false
24 	 69 	 414 	 false
25 	 448 	 2689 	 false
26 	 448 	 2689 	 false
27 	 234 	 1405 	 false
28 	 234 	 1405 	 false
29 	 133 	 799 	 false
30 	 133 	 799 	 false
31 	 109 	 655 	 false
32 	 109 	 655 	 false
33 	 298 	 1789 	 false
34 	 242 	 1453 	 false
35 	 204 	 1224 	 false
36 	 204 	 1224 	 false
37 	 69 	 414 	 false
38 	 69 	 414 	 false
39 	 513 	 3080 	 true
40 	 513 	 3080 	 true
41 	 161 	 967 	 false
42 	 161 	 967 	 false
43 	 168 	 1009 	 false
44 	 168 	 1009 	 false
45 	 395 	 2371 	 false
46 	 395 	 2371 	 false
47 	 257 	 1540 	 false
48 	 257 	 1540 	 false
49 	 221 	 1327 	 false
50 	 221 	 1327 	 false
51 	 213 	 1279 	 false
52 	 174 	 1045 	 false
53 	 829 	 4974 	 true
54 	 829 	 4974 	 true
55 	 320 	 1921 	 false
56 	 320 	 1921 	 false
57 	 471 	 2827 	 false
58 	 471 	 2827 	 false
59 	 169 	 1015 	 false
60 	 169 	 1015 	 false
61 	 395 	 2371 	 false
62 	 395 	 2371 	 false
63 	 291 	 1747 	 false
64 	 259 	 1555 	 false
65 	 235 	 1411 	 false
66 	 235 	 1411 	 false
67 	 357 	 2142 	 false
68 	 296 	 1777 	 false
69 	 406 	 2437 	 false
70 	 406 	 2437 	 false
71 	 514 	 3085 	 true
72 	 514 	 3085 	 true
73 	 224 	 1345 	 false
74 	 224 	 1345 	 false
75 	 175 	 1051 	 false
76 	 175 	 1051 	 false
77 	 292 	 1753 	 false
78 	 292 	 1753 	 false
79 	 164 	 985 	 false
80 	 164 	 985 	 false
81 	 377 	 2263 	 false
82 	 377 	 2263 	 false
83 	 213 	 1279 	 false
84 	 461 	 2767 	 false
85 	 461 	 2767 	 false
86 	 169 	 1014 	 false
87 	 512 	 3073 	 true
88 	 512 	 3073 	 true
89 	 223 	 1339 	 false
90 	 223 	 1339 	 false
91 	 420 	 2520 	 false
92 	 328 	 1969 	 false
93 	 183 	 1099 	 false
94 	 183 	 1099 	 false
95 	 196 	 1177 	 false
96 	 196 	 1177 	 false
97 	 231 	 1387 	 false
98 	 231 	 1387 	 false
99 	 209 	 1255 	 false
100 	 209 	 1255 	 false
101 	 212 	 1272 	 false
102 	 212 	 1272 	 false
103 	 234 	 1405 	 false
104 	 234 	 1405 	 false
105 	 268 	 1609 	 false
106 	 218 	 1309 	 false
107 	 83 	 499 	 false
108 	 83 	 499 	 false
109 	 159 	 955 	 false
110 	 159 	 955 	 false
111 	 489 	 2934 	 false
112 	 489 	 2934 	 false
113 	 279 	 1675 	 false
114 	 279 	 1675 	 false
115 	 291 	 1747 	 false
116 	 259 	 1555 	 false
117 	 179 	 1075 	 false
118 	 179 	 1075 	 false
119 	 525 	 3150 	 true
120 	 464 	 2785 	 false
121 	 376 	 2257 	 false
122 	 376 	 2257 	 false
123 	 154 	 924 	 false
124 	 154 	 924 	 false
125 	 123 	 739 	 false
126 	 123 	 739 	 false
127 	 247 	 1483 	 false
128 	 247 	 1483 	 false
129 	 249 	 1495 	 false
130 	 249 	 1495 	 false
131 	 225 	 1351 	 false
132 	 225 	 1351 	 false
133 	 313 	 1879 	 false
134 	 313 	 1879 	 false
135 	 268 	 1609 	 false
