FareType	DollarFare	PointsFare
LOWEST	683.2	0
POINTS	499.2	42200
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	40.2	0
POINTS	40.2	2000
LOWEST	414.98	0
POINTS	414.98	34900
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	40.2	0
POINTS	40.2	2000
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	292.2	0
POINTS	292.2	22300
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	234.2	0
POINTS	234.2	19200
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	298.2	0
POINTS	242.2	19900
LOWEST	204	0
POINTS	204	8900
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	513.26	0
POINTS	513.26	32700
LOWEST	161.2	0
POINTS	161.2	10900
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	395.2	0
POINTS	395.2	36300
LOWEST	256.7	0
POINTS	256.7	19600
LOWEST	221.2	0
POINTS	221.2	18000
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	828.97	0
POINTS	828.97	63200
LOWEST	320.2	0
POINTS	320.2	26700
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	169.2	0
POINTS	169.2	11500
LOWEST	395.2	0
POINTS	395.2	33200
LOWEST	291.2	0
POINTS	259.2	19600
LOWEST	235.2	0
POINTS	235.2	16400
LOWEST	356.99	0
POINTS	296.2	22600
LOWEST	406.2	0
POINTS	406.2	41300
LOWEST	514.2	0
POINTS	514.2	52700
LOWEST	224.2	0
POINTS	224.2	18300
LOWEST	175.2	0
POINTS	175.2	12000
LOWEST	292.2	0
POINTS	292.2	22300
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	377.2	0
POINTS	377.2	26900
LOWEST	213.2	0
LOWEST	461.2	0
POINTS	461.2	47100
LOWEST	169	0
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	223.2	0
POINTS	223.2	16800
LOWEST	419.98	0
POINTS	328.2	27400
LOWEST	183.2	0
POINTS	183.2	14700
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	209.21	0
POINTS	209.21	15700
LOWEST	211.98	0
POINTS	211.98	17200
LOWEST	234.2	0
POINTS	234.2	17600
LOWEST	268.2	0
POINTS	218.2	15200
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	159.2	0
POINTS	159.2	10800
LOWEST	488.98	0
POINTS	488.98	50000
LOWEST	279.2	0
POINTS	279.2	23100
LOWEST	291.2	0
POINTS	259.2	19600
LOWEST	179.2	0
POINTS	179.2	12300
LOWEST	524.98	0
POINTS	464.2	39200
LOWEST	376.2	0
POINTS	376.2	38200
LOWEST	153.99	0
POINTS	153.99	3000
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	247.2	0
POINTS	247.2	17300
LOWEST	249.2	0
POINTS	249.2	18800
LOWEST	225.2	0
POINTS	225.2	18400
LOWEST	313.2	0
POINTS	313.2	26000
LOWEST	268.2	0
POINTS	218.2	15200
LOWEST	394.2	0
POINTS	394.2	36200
LOWEST	358.2	0
POINTS	358.2	30000
LOWEST	70.2	0
POINTS	70.2	4200
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	301.2	0
POINTS	301.2	21300
LOWEST	171.2	0
POINTS	171.2	11700
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	205.2	0
POINTS	205.2	14200
LOWEST	328.2	0
POINTS	328.2	27400
LOWEST	683.2	0
POINTS	499.2	42200
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	149.2	0
POINTS	149.2	10000
LOWEST	334.2	0
POINTS	334.2	25600
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	169.2	0
POINTS	169.2	11500
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	258.1	0
POINTS	258.1	17100
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	108.7	0
POINTS	108.7	7400
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	159.2	0
POINTS	159.2	10800
LOWEST	358.2	0
POINTS	358.2	30000
LOWEST	278.2	0
POINTS	278.2	19600
LOWEST	210.2	0
POINTS	210.2	14600
LOWEST	348.98	0
POINTS	348.98	26800
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	205.2	0
POINTS	205.2	15300
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	76.2	0
POINTS	76.2	4600
LOWEST	161.2	0
POINTS	161.2	10900
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	205.2	0
POINTS	205.2	14200
LOWEST	405.2	0
POINTS	405.2	34000
LOWEST	421.1	0
POINTS	421.1	32900
LOWEST	478.1	0
POINTS	478.1	42900
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	229.2	0
POINTS	229.2	17200
LOWEST	318.2	0
POINTS	305.2	23300
LOWEST	316.2	0
POINTS	316.2	31800
LOWEST	281.2	0
POINTS	281.2	19800
LOWEST	153.2	0
POINTS	153.2	10300
LOWEST	287.1	0
POINTS	287.1	18500
LOWEST	319.98	0
POINTS	300.2	22900
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	196.2	0
POINTS	196.2	14600
LOWEST	363.2	0
POINTS	363.2	33300
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	274.56	0
POINTS	274.56	11900
LOWEST	157.2	0
POINTS	157.2	10600
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	369.2	0
POINTS	318.2	26500
LOWEST	291.2	0
POINTS	268.2	20400
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	394.2	0
POINTS	310.2	23700
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	426.2	0
POINTS	426.2	43400
LOWEST	211.98	0
POINTS	211.98	17200
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	516.16	0
POINTS	516.16	42300
LOWEST	228.2	0
POINTS	228.2	17200
LOWEST	205.2	0
POINTS	205.2	15300
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	128.2	0
POINTS	128.2	8500
LOWEST	254.2	0
POINTS	254.2	20900
LOWEST	324.98	0
POINTS	324.98	27100
LOWEST	291.2	0
POINTS	268.2	20400
LOWEST	274.56	0
POINTS	274.56	11900
LOWEST	128.2	0
POINTS	128.2	8500
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	298.2	0
POINTS	242.2	19900
LOWEST	216.2	0
POINTS	216.2	17600
LOWEST	193.2	0
POINTS	193.2	14400
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	74.2	0
POINTS	74.2	4500
LOWEST	278.2	0
POINTS	278.2	19600
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	369.2	0
POINTS	318.2	26500
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	78.19	0
POINTS	78.19	4800
